O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value
19-4012.01,Precision Agriculture Technicians,4.0,3.88,3.38,3.38,3.38,3.12,3.62,3.75,2.75,3.5,2.88,3.0,2.88,2.75,3.0,3.0,3.25,3.25,1.0,2.12,1.38,1.62,2.88,2.75,2.38,2.38,2.38,3.0,3.5,3.25,3.25,2.88,0.88,1.12,2.38,
19-4013.00,Food Science Technicians,4.0,3.38,3.25,3.25,3.12,3.25,3.62,3.25,2.88,3.12,3.0,3.0,2.12,2.12,3.12,2.38,3.0,0.88,0.5,1.88,0.0,0.5,2.88,1.5,2.12,1.88,1.88,3.12,3.0,2.25,2.5,2.88,0.75,1.75,2.62,
19-4021.00,Biological Technicians,4.62,3.75,3.75,3.75,3.62,3.62,4.0,3.88,2.75,3.75,2.75,2.62,2.12,1.38,2.5,2.12,3.5,1.62,1.38,1.5,0.0,1.75,3.0,2.75,1.75,2.62,0.88,3.12,3.5,3.0,2.88,2.88,1.0,2.0,2.12,
19-4031.00,Chemical Technicians,4.12,3.88,4.0,3.38,3.12,4.12,4.12,3.25,3.25,3.88,2.88,3.0,2.25,2.62,3.12,2.75,3.12,2.62,1.62,2.75,0.0,0.62,3.25,3.0,3.0,3.0,2.75,3.38,3.25,3.0,3.12,3.0,1.0,1.88,2.5,
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.0,4.0,3.88,3.75,3.12,3.38,3.75,3.12,3.12,3.88,3.12,3.0,3.12,3.0,3.12,2.88,3.38,3.0,0.75,1.88,0.0,1.12,3.12,2.75,2.12,2.62,2.0,2.88,3.38,3.25,3.0,3.25,1.5,1.88,3.0,
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4.0,3.31,3.38,3.31,2.81,3.62,3.38,2.87,2.44,3.31,2.88,2.94,2.37,2.0,2.5,2.25,3.0,2.31,1.06,1.62,0.19,1.06,3.12,2.81,1.44,2.31,1.5,2.75,2.94,2.81,2.56,2.94,1.06,1.5,2.62,
19-4051.00,Nuclear Technicians,4.0,4.0,3.0,3.62,3.38,3.12,3.62,3.12,2.5,4.0,2.38,2.88,2.12,2.12,2.25,2.12,3.0,0.38,1.38,2.0,0.0,0.75,4.0,3.75,2.88,3.5,3.38,3.25,3.62,2.75,2.62,3.0,0.75,0.88,2.0,
19-4051.02,Nuclear Monitoring Technicians,4.0,3.88,3.62,3.38,3.12,3.12,4.0,3.12,3.25,4.0,2.88,3.0,2.75,2.75,3.0,2.75,3.12,0.25,0.62,0.5,0.0,0.62,3.62,2.88,1.25,2.75,0.75,3.12,3.38,3.0,2.88,3.12,1.12,1.12,2.75,
19-4061.00,Social Science Research Assistants,4.75,4.12,3.88,3.75,3.88,3.38,3.88,3.62,3.12,3.12,2.88,3.0,2.5,2.38,2.88,2.5,3.12,2.0,1.25,0.5,0.0,2.75,1.88,0.62,0.0,1.38,0.0,2.88,3.12,2.88,3.0,2.88,1.5,2.0,2.38,
19-4071.00,Forest and Conservation Technicians,3.75,3.75,3.12,3.5,2.75,2.25,3.38,3.0,3.0,3.62,3.12,3.25,3.12,2.38,3.0,2.88,3.0,1.12,1.12,1.88,0.25,1.62,2.88,2.88,1.88,2.0,1.88,2.75,3.38,3.0,3.0,3.25,1.38,1.75,3.12,
19-4092.00,Forensic Science Technicians,4.38,4.25,4.12,4.12,3.12,3.25,4.0,3.62,3.38,3.5,3.38,3.38,3.12,2.25,3.75,2.88,3.62,1.62,0.88,2.38,0.0,1.25,2.62,2.88,1.75,2.12,1.5,2.25,3.75,3.0,2.62,3.25,1.12,1.0,3.0,
19-4099.01,Quality Control Analysts,3.88,3.75,3.38,3.62,3.25,2.88,3.62,3.12,2.88,3.88,3.0,2.75,2.5,2.62,3.0,2.88,3.25,1.88,1.12,1.12,0.5,0.75,3.25,3.0,1.62,3.0,1.38,4.0,3.12,3.0,3.0,3.0,0.75,1.38,2.0,
19-4099.03,Remote Sensing Technicians,4.12,3.75,3.75,3.62,3.88,2.75,3.88,3.5,3.0,3.62,2.75,3.38,2.88,2.5,3.25,2.62,3.38,1.88,1.62,2.38,0.12,3.25,3.12,2.25,2.0,2.38,1.5,2.88,3.62,3.12,3.0,2.75,1.38,1.88,2.5,
19-5011.00,Occupational Health and Safety Specialists,4.0,3.88,3.88,4.12,3.38,3.38,4.12,4.0,3.5,4.12,3.88,3.12,3.75,3.12,3.38,3.12,3.88,3.12,1.38,1.0,0.0,1.25,3.62,2.12,0.12,2.25,0.12,3.5,3.88,3.62,3.88,3.0,1.5,1.62,2.88,
19-5012.00,Occupational Health and Safety Technicians,3.88,3.88,3.88,3.88,2.75,2.88,3.88,3.25,3.12,3.75,3.12,3.0,3.0,3.0,3.12,3.0,3.25,2.62,1.12,0.12,0.0,1.12,3.12,2.25,0.12,1.62,0.0,2.75,3.25,3.12,3.0,3.12,1.38,1.75,2.38,
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.25,4.38,4.0,4.25,2.0,1.38,4.12,4.0,3.75,4.0,5.0,3.88,3.75,3.25,3.25,4.0,3.5,1.5,1.0,0.0,0.0,1.0,1.75,0.88,0.0,0.5,0.0,1.25,3.88,3.25,3.25,3.12,1.0,1.0,3.0,0.0
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.25,4.12,4.0,4.0,2.12,0.62,4.0,3.88,3.62,3.75,5.12,3.88,3.88,3.25,3.5,4.0,3.75,0.25,0.88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,4.0,3.12,3.38,3.88,0.62,0.62,3.0,
21-1013.00,Marriage and Family Therapists,4.25,5.0,4.25,4.25,1.75,2.88,4.25,4.25,3.75,4.0,5.75,3.5,3.75,3.75,3.62,4.25,4.12,3.0,0.5,0.0,0.0,0.25,0.5,0.12,0.0,0.0,0.0,0.25,4.25,3.75,3.88,3.12,0.38,0.25,3.0,0.0
21-1014.00,Mental Health Counselors,4.62,4.88,4.25,4.25,2.12,3.5,4.5,4.12,3.88,4.0,5.62,3.5,4.12,3.5,3.25,4.0,3.75,2.88,0.75,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,1.0,4.0,3.62,4.0,3.25,0.88,0.75,3.0,
21-1015.00,Rehabilitation Counselors,4.0,4.12,4.0,4.0,2.0,2.0,3.88,3.25,3.75,4.12,4.88,3.75,3.75,3.12,3.0,4.0,3.62,3.0,0.62,0.0,0.0,0.5,0.75,0.12,0.0,0.0,0.0,0.25,3.62,3.62,3.5,3.12,0.62,0.5,3.0,
21-1021.00,"Child, Family, and School Social Workers",4.12,4.75,4.12,4.12,1.88,2.0,4.25,3.75,3.12,3.88,4.62,3.88,3.88,4.0,3.25,4.12,3.5,3.0,0.62,0.0,0.0,0.5,2.0,1.62,0.0,0.62,0.0,1.0,4.0,3.0,3.12,3.88,0.38,0.38,3.0,
21-1022.00,Healthcare Social Workers,4.25,4.75,4.12,4.25,2.0,2.62,4.0,4.0,3.62,3.88,5.12,4.0,3.75,3.25,3.0,4.38,3.88,3.0,0.75,0.0,0.0,0.75,0.88,0.88,0.0,0.0,0.0,0.88,3.88,2.5,3.62,3.25,0.75,0.88,3.12,
21-1023.00,Mental Health and Substance Abuse Social Workers,4.12,4.0,4.0,4.0,2.0,2.75,4.0,3.88,3.88,4.0,5.12,4.0,4.0,3.75,3.75,4.12,4.0,2.62,1.0,0.0,0.0,1.0,2.0,0.62,0.0,0.0,0.0,1.0,3.88,3.25,3.12,3.88,1.0,1.0,3.0,
21-1091.00,Health Education Specialists,4.0,4.0,4.0,4.25,2.25,2.75,4.0,3.62,4.12,3.75,3.88,3.25,3.25,3.12,3.25,3.25,3.0,3.0,1.0,0.0,0.0,0.5,1.62,0.75,0.0,0.0,0.0,0.38,3.12,3.12,3.0,3.25,2.12,2.12,3.0,
21-1092.00,Probation Officers and Correctional Treatment Specialists,4.12,4.0,3.88,4.0,1.25,0.75,4.0,3.25,2.62,3.88,4.38,3.75,3.75,3.12,3.0,3.5,3.38,1.62,0.62,0.0,0.0,0.75,1.75,1.38,0.0,0.62,0.0,1.38,3.75,3.0,3.0,3.38,1.0,0.88,2.5,
21-1093.00,Social and Human Service Assistants,4.0,4.0,3.88,4.12,2.0,1.5,4.0,3.25,3.0,3.75,4.12,3.38,3.38,3.0,3.12,4.0,3.12,1.38,0.88,0.0,0.0,0.88,1.38,1.62,0.0,0.25,0.0,1.25,3.25,3.12,3.0,3.12,1.25,1.38,2.38,
21-1094.00,Community Health Workers,4.0,4.0,3.88,4.0,2.12,0.5,3.75,3.62,3.75,3.75,4.25,3.62,3.75,3.0,3.62,3.88,3.5,0.75,1.0,0.0,0.0,0.75,1.88,1.75,0.0,1.12,0.0,1.38,3.38,3.25,3.25,3.38,1.62,1.75,3.0,
21-2011.00,Clergy,4.75,4.5,4.38,4.75,2.5,0.88,4.12,4.12,4.25,4.12,5.38,4.0,4.38,3.88,3.88,4.25,3.75,0.88,0.5,0.0,0.0,0.5,1.38,1.25,0.0,0.0,0.0,0.38,4.0,2.88,3.88,3.62,3.38,3.12,3.88,0.0
21-2021.00,"Directors, Religious Activities and Education",4.12,3.75,3.88,4.0,2.88,0.88,3.88,3.75,3.75,3.88,4.5,3.88,3.62,2.88,3.25,3.5,3.75,2.62,0.62,0.0,0.0,0.75,1.5,0.62,0.0,0.0,0.0,1.12,3.38,3.0,3.25,3.62,3.12,2.75,3.62,
23-1011.00,Lawyers,4.88,4.75,4.88,4.88,2.12,0.88,4.88,4.25,3.12,3.75,4.0,3.38,4.5,4.25,3.12,3.75,4.0,2.38,1.0,0.0,0.0,0.75,0.62,0.38,0.0,0.0,0.0,0.25,4.25,3.5,3.25,4.0,2.0,1.75,3.0,0.0
23-1012.00,Judicial Law Clerks,4.88,4.25,4.38,4.25,1.75,0.0,4.62,4.12,3.0,3.25,3.12,3.0,3.25,2.88,2.75,2.88,3.62,0.38,0.75,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.0,0.88,3.62,2.38,2.38,3.25,0.0,0.25,0.88,1.0
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.75,5.5,4.88,4.75,2.38,0.75,5.12,4.12,2.88,4.0,4.0,2.88,3.62,3.5,2.88,2.88,4.0,1.75,0.88,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.12,4.88,2.75,2.88,3.38,1.0,0.62,2.5,
23-1022.00,"Arbitrators, Mediators, and Conciliators",4.25,4.88,4.38,4.75,2.0,0.62,4.75,4.0,3.0,3.5,3.62,3.12,4.38,5.0,3.12,3.12,3.75,1.0,0.38,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.12,4.12,2.88,2.88,3.0,0.12,0.12,1.62,
23-1023.00,"Judges, Magistrate Judges, and Magistrates",4.75,5.88,4.88,4.88,2.12,1.38,5.75,4.62,2.88,4.12,4.0,3.25,3.62,3.88,3.12,2.88,5.0,2.38,0.75,0.0,0.0,0.38,0.25,0.0,0.0,0.0,0.0,0.0,4.75,3.25,3.0,4.0,0.75,0.75,3.12,0.0
23-2011.00,Paralegals and Legal Assistants,4.0,4.0,3.88,3.75,1.62,0.75,3.5,3.25,2.12,3.0,3.12,3.0,2.88,2.5,2.0,3.0,3.0,0.5,0.75,0.0,0.0,0.62,0.75,0.0,0.0,0.0,0.0,0.25,3.0,2.12,2.12,3.12,0.0,0.0,1.75,1.0
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.88,3.62,3.62,3.5,2.25,0.25,3.62,3.12,2.12,3.0,2.75,3.0,2.38,2.25,2.0,2.88,3.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.25,2.75,2.12,1.62,3.25,0.62,0.62,2.5,
25-1011.00,"Business Teachers, Postsecondary",5.0,4.12,5.0,4.88,3.25,1.38,4.38,4.38,4.75,4.0,3.38,3.0,2.88,2.75,4.62,3.0,3.75,2.12,0.62,0.0,0.0,1.25,0.5,0.12,0.0,0.0,0.0,0.62,4.0,3.25,3.25,3.5,0.75,0.88,2.5,
25-1021.00,"Computer Science Teachers, Postsecondary",5.0,4.38,4.88,4.88,3.5,2.62,4.5,4.12,4.38,4.0,3.75,3.12,3.0,2.88,4.75,3.25,4.0,2.62,1.88,0.5,0.0,3.12,1.25,0.75,0.38,0.38,0.0,1.62,3.88,3.62,3.38,3.62,1.0,1.62,3.0,
25-1022.00,"Mathematical Science Teachers, Postsecondary",4.88,4.0,4.75,4.38,4.88,2.25,4.12,4.12,4.25,4.0,3.25,3.0,2.75,2.62,4.25,3.0,3.62,1.75,0.62,0.0,0.0,0.88,0.25,0.0,0.0,0.0,0.0,0.5,3.38,2.88,3.12,3.25,0.62,0.75,2.12,
25-1031.00,"Architecture Teachers, Postsecondary",5.0,4.38,5.0,4.88,3.75,2.62,4.38,4.5,4.38,4.12,3.62,3.12,3.0,3.0,4.88,3.25,4.25,3.12,0.88,0.38,0.0,1.0,1.25,0.5,0.0,0.38,0.0,1.25,4.12,3.25,3.5,3.5,1.12,2.0,3.0,
25-1032.00,"Engineering Teachers, Postsecondary",4.88,4.12,4.75,4.88,4.5,3.62,4.12,4.12,4.25,4.12,3.5,3.0,2.88,3.0,4.62,2.88,3.38,2.88,1.88,0.38,0.0,1.62,1.88,0.62,0.0,0.5,0.0,1.5,4.0,3.38,3.38,3.0,1.25,1.25,2.75,
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5.0,4.62,5.0,5.0,3.25,3.62,4.12,4.5,4.62,4.25,3.38,3.25,2.88,2.62,4.75,3.0,3.88,1.5,0.75,0.0,0.0,0.88,1.38,1.12,0.0,0.88,0.0,1.88,4.0,3.25,3.38,3.5,1.25,1.75,2.88,
25-1042.00,"Biological Science Teachers, Postsecondary",5.12,4.38,4.75,4.75,3.25,4.0,4.12,4.5,4.38,3.88,3.38,2.88,2.88,2.88,4.38,3.12,3.75,2.38,0.38,0.38,0.0,0.5,1.0,0.12,0.62,0.88,0.88,1.38,4.12,3.25,3.25,3.5,1.5,1.75,2.75,
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5.0,4.75,4.88,4.75,3.12,3.38,4.25,4.25,4.12,3.88,3.75,3.0,2.88,2.88,4.88,3.0,4.0,2.62,1.0,0.0,0.0,1.12,1.5,1.38,0.0,0.62,0.0,1.25,3.5,3.0,3.12,3.25,1.75,1.75,3.0,
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5.12,4.62,4.75,4.75,4.0,4.12,4.25,4.25,4.25,4.12,3.62,3.12,3.0,3.0,4.25,3.25,3.88,2.88,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.12,0.0,0.75,4.0,3.62,3.25,3.62,1.38,2.12,2.88,
25-1052.00,"Chemistry Teachers, Postsecondary",5.0,4.0,4.88,5.0,3.75,4.25,4.0,4.0,4.0,4.0,3.38,3.0,3.0,2.38,4.62,3.0,4.0,3.0,1.25,0.88,0.0,1.12,1.88,0.25,0.12,1.12,0.0,2.12,3.75,3.25,3.12,3.62,1.75,1.75,3.0,
25-1053.00,"Environmental Science Teachers, Postsecondary",5.0,4.25,4.75,4.5,3.25,4.5,4.25,4.25,4.25,4.0,3.62,3.25,3.0,2.88,4.38,3.12,3.88,2.88,0.38,0.0,0.0,0.38,0.88,0.0,0.0,0.5,0.0,1.38,3.88,3.12,3.12,3.5,1.5,2.0,2.88,
25-1054.00,"Physics Teachers, Postsecondary",5.0,4.62,5.0,5.0,4.0,4.62,4.88,4.38,4.38,4.0,3.12,3.12,3.0,2.5,4.38,3.0,4.0,2.75,1.0,1.0,0.0,1.12,1.62,0.62,1.25,1.5,1.38,2.12,3.88,3.12,3.0,3.12,1.38,2.0,3.12,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5.0,4.38,5.0,4.88,3.12,4.0,4.25,4.38,4.25,4.12,3.75,3.12,3.0,3.0,4.25,3.0,3.88,2.38,0.5,0.0,0.0,0.5,0.12,0.0,0.0,0.0,0.0,0.38,4.0,3.38,3.62,3.62,1.0,1.38,3.0,
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4.88,4.25,4.88,4.75,2.12,2.75,4.12,4.0,4.0,3.88,3.5,3.0,3.12,2.38,3.88,3.0,3.62,2.75,1.0,0.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.62,3.62,3.0,3.0,3.75,1.62,1.62,3.12,
25-1063.00,"Economics Teachers, Postsecondary",4.38,4.12,4.12,4.25,3.75,2.88,4.12,4.12,4.0,3.62,3.5,3.0,2.5,2.12,4.25,2.75,3.62,2.75,0.75,0.0,0.0,1.38,1.12,0.0,0.0,0.0,0.0,0.25,3.88,3.12,3.12,3.0,1.12,0.88,2.62,
25-1064.00,"Geography Teachers, Postsecondary",4.75,4.0,4.88,4.88,3.0,3.5,4.0,4.12,3.88,3.88,3.25,3.38,3.12,3.0,4.75,3.0,3.75,2.5,1.12,0.0,0.0,1.38,0.5,0.0,0.0,0.0,0.0,0.38,3.75,3.0,3.0,3.25,1.38,1.25,3.0,
25-1065.00,"Political Science Teachers, Postsecondary",4.88,4.0,4.88,5.0,2.12,2.25,4.12,4.0,4.0,3.62,3.5,3.0,3.12,2.88,4.25,3.12,4.0,2.88,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,3.75,3.0,3.0,3.12,0.88,1.0,2.88,
25-1066.00,"Psychology Teachers, Postsecondary",5.0,4.88,5.0,5.0,3.25,4.12,4.25,4.62,5.0,3.88,4.5,3.0,2.88,2.5,4.25,3.0,3.88,2.25,0.75,0.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.5,4.12,3.12,3.25,3.5,0.75,1.0,3.0,
25-1067.00,"Sociology Teachers, Postsecondary",4.88,4.12,4.75,4.75,3.25,3.75,4.12,4.38,4.88,3.88,3.88,2.88,2.88,2.75,4.62,3.0,3.75,2.5,0.38,0.0,0.0,0.5,0.38,0.0,0.0,0.0,0.0,0.5,4.0,3.25,3.25,3.62,0.75,0.88,2.62,
25-1071.00,"Health Specialties Teachers, Postsecondary",5.0,4.62,5.0,4.88,3.0,3.5,4.12,4.0,4.12,3.88,3.62,3.5,3.12,3.0,4.38,3.0,4.0,2.75,0.5,0.62,0.0,0.5,1.38,0.62,0.75,0.75,0.75,1.38,3.88,2.88,2.88,3.88,1.12,1.25,2.88,
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5.0,4.62,4.88,4.75,2.88,2.75,4.25,4.0,4.25,4.12,4.0,4.0,3.12,3.0,5.0,3.25,4.0,2.5,1.12,0.38,0.0,1.12,2.0,0.62,0.0,1.0,0.0,1.88,3.88,3.25,3.25,3.75,1.62,1.75,3.0,
25-1081.00,"Education Teachers, Postsecondary",4.88,4.62,4.88,4.88,2.25,2.0,4.0,4.25,4.5,4.0,3.62,3.0,2.88,2.88,4.25,2.88,4.0,2.62,0.75,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,4.0,3.25,3.25,3.5,1.25,1.88,3.0,
25-1082.00,"Library Science Teachers, Postsecondary",5.0,4.62,4.75,4.75,2.25,2.12,4.12,4.38,4.38,4.12,3.62,3.25,2.75,2.62,4.12,2.88,3.75,1.62,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.75,3.75,3.38,3.38,3.5,1.25,1.38,2.88,
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4.88,4.75,4.5,4.88,2.0,1.5,4.12,4.0,4.0,4.0,3.75,3.0,3.0,2.75,4.12,3.0,3.75,2.25,0.38,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.12,3.62,3.12,2.88,3.25,0.5,0.62,2.88,
25-1112.00,"Law Teachers, Postsecondary",5.12,4.88,5.0,5.0,2.25,0.75,4.88,4.75,4.5,3.75,3.12,3.0,3.75,3.12,4.38,3.0,3.75,1.25,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.5,4.12,3.12,3.5,3.12,0.25,0.62,2.75,
25-1113.00,"Social Work Teachers, Postsecondary",4.88,4.12,4.75,4.88,2.62,2.62,4.25,4.88,4.88,3.88,3.88,3.75,3.0,3.0,4.88,3.62,3.88,2.88,0.88,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,4.0,3.12,3.38,3.62,0.88,1.5,2.88,
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",4.62,4.12,4.12,4.75,2.12,1.12,3.88,4.25,4.25,3.88,3.75,3.12,3.0,2.75,4.75,2.88,3.38,2.62,0.62,0.25,0.25,0.38,0.5,0.25,0.0,0.0,0.5,0.75,3.62,3.0,3.0,3.75,1.5,2.0,2.88,
25-1122.00,"Communications Teachers, Postsecondary",4.75,4.12,4.62,4.88,2.75,1.88,4.12,4.25,4.5,3.88,3.62,3.0,3.0,3.0,4.62,3.0,3.5,2.12,0.75,0.0,0.0,0.62,0.75,0.0,0.0,0.0,0.0,0.38,3.88,3.12,3.0,3.38,1.5,1.12,3.0,
25-1123.00,"English Language and Literature Teachers, Postsecondary",5.0,4.25,4.88,4.75,1.88,0.88,4.0,4.0,5.0,4.0,3.75,3.12,3.0,3.0,4.38,3.12,3.5,2.0,0.5,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.0,0.25,3.75,3.0,3.0,3.25,0.0,0.5,3.0,
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",4.88,4.62,4.75,4.75,1.62,1.38,3.88,4.0,4.0,3.88,3.62,3.0,2.75,2.75,4.12,3.0,3.62,2.38,0.88,0.0,0.0,0.88,0.5,0.0,0.0,0.0,0.0,0.75,3.75,2.88,3.0,3.25,0.12,0.62,2.75,
25-1125.00,"History Teachers, Postsecondary",4.75,4.12,4.75,4.75,2.0,1.75,3.88,4.0,4.25,4.0,3.88,3.12,3.0,2.88,4.25,3.12,3.75,2.5,0.25,0.0,0.0,0.25,0.38,0.0,0.0,0.0,0.0,0.25,3.75,3.0,3.0,3.75,0.88,0.75,3.0,
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",4.88,4.38,5.0,4.75,2.12,1.38,4.25,4.38,4.62,3.88,3.38,3.0,3.12,2.5,4.38,3.0,3.75,1.88,0.62,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.38,3.62,3.12,3.25,3.0,0.25,0.88,2.75,
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",4.62,4.25,4.12,4.75,2.88,2.25,4.0,4.12,4.25,4.0,3.25,3.0,2.88,2.5,4.25,3.0,3.25,2.25,0.75,0.0,0.0,0.75,0.62,0.0,0.0,0.38,0.0,1.38,3.62,3.12,3.25,3.12,0.88,1.38,2.62,
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",4.25,4.0,4.12,4.12,2.62,2.75,4.0,4.0,4.0,4.0,3.88,3.25,3.12,3.0,4.25,3.0,3.38,2.62,1.0,0.0,0.0,0.38,1.12,0.0,0.0,0.75,0.0,1.12,3.88,3.12,3.12,3.38,1.38,1.25,2.88,
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3.88,4.0,4.0,4.0,2.25,1.0,3.75,4.0,4.0,4.0,3.25,3.0,3.0,3.0,4.0,3.0,3.12,2.62,1.12,2.12,0.25,0.62,2.5,1.88,1.38,1.88,1.25,2.38,3.0,2.62,2.88,3.0,1.5,1.88,2.88,
25-2011.00,"Preschool Teachers, Except Special Education",3.25,3.12,3.0,3.12,1.88,0.62,3.12,3.0,4.0,3.5,3.62,3.62,3.0,2.88,3.25,3.0,3.0,1.38,0.62,0.38,0.0,0.0,1.0,0.0,0.0,0.75,0.0,1.75,3.0,2.0,2.12,3.0,0.62,1.25,2.88,0.0
25-2012.00,"Kindergarten Teachers, Except Special Education",3.75,4.0,3.25,3.25,2.25,0.5,3.75,3.12,3.88,4.0,4.0,3.38,3.12,3.12,3.25,3.12,3.12,0.88,0.88,0.0,0.0,0.5,1.25,0.0,0.0,0.62,0.0,1.0,3.12,3.0,3.0,3.25,0.25,0.88,3.0,
25-2021.00,"Elementary School Teachers, Except Special Education",4.0,4.0,3.88,4.0,2.75,1.75,4.0,3.88,4.5,4.25,4.0,3.62,3.0,3.0,4.12,3.38,3.38,1.62,0.88,0.5,0.0,0.5,0.88,0.38,0.0,0.25,0.0,1.12,3.62,3.12,3.12,3.38,0.25,1.0,2.88,
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4.0,4.0,4.0,4.0,3.0,0.88,3.62,3.88,4.0,4.0,4.0,3.62,3.12,3.12,4.0,3.38,3.12,0.38,0.88,0.0,0.0,0.62,1.0,0.0,0.0,0.38,0.0,1.12,3.25,3.0,3.0,3.5,0.62,1.0,3.0,
25-2023.00,"Career/Technical Education Teachers, Middle School",4.12,4.0,3.62,4.0,2.38,1.38,3.88,3.5,4.0,3.75,3.88,3.12,3.0,2.75,4.0,3.12,3.0,2.62,0.88,0.62,0.0,0.75,1.75,1.62,0.25,1.38,0.38,1.88,3.0,3.0,3.12,3.0,1.12,2.0,2.62,
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4.12,4.12,3.88,4.12,3.0,1.75,3.88,3.75,4.38,4.12,3.88,3.38,3.12,2.88,4.12,3.5,3.5,1.25,0.88,0.38,0.0,0.75,0.62,0.38,0.0,0.0,0.0,1.38,3.62,3.12,3.12,3.38,0.88,1.75,3.0,
25-2032.00,"Career/Technical Education Teachers, Secondary School",4.12,4.12,3.88,4.12,3.12,0.88,3.88,3.75,4.0,4.0,3.75,3.62,3.75,3.25,4.12,3.5,3.38,0.62,1.0,1.0,0.0,1.0,2.0,1.88,0.75,1.62,0.62,1.62,3.12,3.0,3.25,3.38,0.88,2.0,2.62,
25-2051.00,"Special Education Teachers, Preschool",4.12,4.12,4.0,4.25,2.12,1.5,3.88,3.75,4.0,4.0,4.0,3.5,3.12,2.88,3.25,3.5,3.38,1.25,0.75,0.25,0.0,1.0,1.25,0.0,0.0,0.5,0.0,1.25,3.38,3.25,3.25,3.0,0.38,1.12,2.75,
25-2057.00,"Special Education Teachers, Middle School",4.0,4.0,4.0,4.0,2.75,0.5,3.88,3.88,4.12,3.88,4.0,3.88,3.25,3.12,4.0,3.38,3.12,0.62,1.0,0.25,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.5,3.25,3.0,3.0,3.75,0.38,0.38,3.0,
25-2058.00,"Special Education Teachers, Secondary School",4.0,4.0,4.0,3.88,2.88,1.62,4.0,3.88,4.75,4.0,4.0,3.62,3.0,3.0,3.88,3.88,3.25,2.38,1.0,0.25,0.0,1.0,1.62,0.25,0.0,0.5,0.0,1.62,3.5,2.62,2.88,3.25,1.0,2.0,2.38,
25-2059.01,Adapted Physical Education Specialists,4.0,4.12,3.88,4.0,2.0,0.88,3.88,3.88,4.0,3.88,4.12,3.88,3.62,3.12,3.62,3.75,3.38,2.0,1.12,0.25,0.0,0.25,2.0,0.5,0.0,0.88,0.0,1.75,3.88,3.0,3.25,3.25,0.5,1.38,2.88,
